 usecs   ticks  time part mamType noteType channel pitch velocity    other
555556       0 0.000    0       2       f0       f    51        0 00000000
     0    8340 19.306    1       0       90       0    40       6b 00000000
     0    8376 19.389    2       0       80       1    2f        0 00000000
     0    8388 19.417    1       0       80       0    40        0 00000000
     0    8400 19.444    1       0       90       0    4c       6b 00000000
     0    8400 19.444    2       0       90       1    31       6b 00000000
     0    8448 19.556    1       0       80       0    4c        0 00000000
     0    8460 19.583    1       0       90       0    41       6b 00000000
     0    8496 19.667    2       0       80       1    31        0 00000000
     0    8508 19.694    1       0       80       0    41        0 00000000
     0    8520 19.722    1       0       90       0    43       6b 00000000
     0    8520 19.722    2       0       90       1    2d       6b 00000000
     0    8568 19.833    1       0       80       0    43        0 00000000
     0    8580 19.861    1       0       90       0    40       6b 00000000
     0    8616 19.944    2       0       80       1    2d        0 00000000
     0    8628 19.972    1       0       80       0    40        0 00000000
     0    8640 20.000    1       0       90       0    41       6b 00000000
     0    8640 20.000    2       0       90       1    32       6b 00000000
     0    8688 20.111    1       0       80       0    41        0 00000000
     0    8700 20.139    1       0       90       0    3e       6b 00000000
     0    8736 20.222    2       0       80       1    32        0 00000000
     0    8748 20.250    1       0       80       0    3e        0 00000000
     0    8760 20.278    1       0       90       0    41       6b 00000000
     0    8760 20.278    2       0       90       1    30       6b 00000000
     0    8808 20.389    1       0       80       0    41        0 00000000
     0    8820 20.417    1       0       90       0    45       6b 00000000
     0    8856 20.500    2       0       80       1    30        0 00000000
     0    8868 20.528    1       0       80       0    45        0 00000000
     0    8880 20.556    1       0       90       0    4a       6b 00000000
     0    8880 20.556    2       0       90       1    2f       6b 00000000
     0    8928 20.667    1       0       80       0    4a        0 00000000
     0    8940 20.694    1       0       90       0    40       6b 00000000
     0    8976 20.778    2       0       80       1    2f        0 00000000
     0    8988 20.806    1       0       80       0    40        0 00000000
     0    9000 20.833    1       0       90       0    41       6b 00000000
     0    9000 20.833    2       0       90       1    2d       6b 00000000
     0    9048 20.944    1       0       80       0    41        0 00000000
     0    9060 20.972    1       0       90       0    3e       6b 00000000
     0    9096 21.056    2       0       80       1    2d        0 00000000
     0    9108 21.083    1       0       80       0    3e        0 00000000
     0    9120 21.111    1       0       90       0    4a       6b 00000000
     0    9120 21.111    2       0       90       1    2f       6b 00000000
     0    9168 21.222    1       0       80       0    4a        0 00000000
     0    9180 21.250    1       0       90       0    40       6b 00000000
     0    9216 21.333    2       0       80       1    2f        0 00000000
     0    9228 21.361    1       0       80       0    40        0 00000000
     0    9240 21.389    1       0       90       0    41       6b 00000000
     0    9240 21.389    2       0       90       1    2b       6b 00000000
     0    9288 21.500    1       0       80       0    41        0 00000000
     0    9300 21.528    1       0       90       0    3e       6b 00000000
     0    9336 21.611    2       0       80       1    2b        0 00000000
     0    9348 21.639    1       0       80       0    3e        0 00000000
     0    9360 21.667    1       0       90       0    40       6b 00000000
     0    9360 21.667    2       0       90       1    30       6b 00000000
     0    9408 21.778    1       0       80       0    40        0 00000000
     0    9420 21.806    1       0       90       0    3e       6b 00000000
     0    9456 21.889    2       0       80       1    30        0 00000000
     0    9468 21.917    1       0       80       0    3e        0 00000000
     0    9480 21.944    1       0       90       0    3c       6b 00000000
     0    9480 21.944    2       0       90       1    2b       6b 00000000
     0    9528 22.056    1       0       80       0    3c        0 00000000
     0    9540 22.083    1       0       90       0    3b       6b 00000000
     0    9576 22.167    2       0       80       1    2b        0 00000000
     0    9588 22.194    1       0       80       0    3b        0 00000000
     0    9600 22.222    1       0       90       0    3c       6b 00000000
     0    9600 22.222    2       0       90       1    24       6b 00000000
     0    9648 22.333    1       0       80       0    3c        0 00000000
     0    9660 22.361    1       0       90       0    38       6b 00000000
     0    9696 22.444    2       0       80       1    24        0 00000000
     0    9708 22.472    1       0       80       0    38        0 00000000
     0    9720 22.500    1       0       90       0    39       6b 00000000
     0    9720 22.500    2       0       90       1    30       6b 00000000
     0    9768 22.611    1       0       80       0    39        0 00000000
     0    9780 22.639    1       0       90       0    40       6b 00000000
     0    9816 22.722    2       0       80       1    30        0 00000000
     0    9828 22.750    1       0       80       0    40        0 00000000
     0    9840 22.778    1       0       90       0    3e       6b 00000000
     0    9840 22.778    2       0       90       1    2f       6b 00000000
     0    9888 22.889    1       0       80       0    3e        0 00000000
     0    9888 22.889    2       0       80       1    2f        0 00000000
     0    9900 22.917    1       0       90       0    3b       6b 00000000
     0    9900 22.917    2       0       90       1    2c       6b 00000000
     0    9948 23.028    1       0       80       0    3b        0 00000000
     0    9948 23.028    2       0       80       1    2c        0 00000000
     0    9960 23.056    1       0       90       0    3c       6b 00000000
     0    9960 23.056    2       0       90       1    2d       6b 00000000
     0   10008 23.167    1       0       80       0    3c        0 00000000
     0   10008 23.167    2       0       80       1    2d        0 00000000
     0   10020 23.194    1       0       90       0    39       6b 00000000
     0   10020 23.194    2       0       90       1    2a       6b 00000000
     0   10068 23.306    1       0       80       0    39        0 00000000
     0   10068 23.306    2       0       80       1    2a        0 00000000
     0   10080 23.333    1       0       90       0    3b       6b 00000000
     0   10080 23.333    2       0       90       1    2c       6b 00000000
     0   10128 23.444    1       0       80       0    3b        0 00000000
     0   10140 23.472    1       0       90       0    3e       6b 00000000
     0   10176 23.556    2       0       80       1    2c        0 00000000
     0   10188 23.583    1       0       80       0    3e        0 00000000
     0   10200 23.611    1       0       90       0    3b       6b 00000000
     0   10200 23.611    2       0       90       1    28       6b 00000000
     0   10248 23.722    1       0       80       0    3b        0 00000000
